store,model,observations,MAE,RMSE,MAPE,SMAPE
1,Random Forest,4500,7.490662553575304,9.606342519155069,18.492121508382713,16.572911843984254
2,Random Forest,4500,8.651866933610703,10.951815397395574,15.095552886121322,13.84587657143219
3,Random Forest,4500,8.144309598286947,10.369967976996422,16.12324189339729,14.598793631316246
4,Random Forest,4500,8.08695113881429,10.312288500616768,17.760560511887913,15.697173947680806
5,Random Forest,4500,7.029458263821072,8.969514760984355,21.771861308722702,18.62846872815256
6,Random Forest,4500,7.0254725168016225,9.067571106904808,21.394983884992286,18.38506876812662
7,Random Forest,4500,6.776197088029649,8.707888828014415,23.281762201454008,19.54826261944127
8,Random Forest,4500,8.416376023186578,10.729780754726914,15.218711976359753,14.01024585242616
9,Random Forest,4500,8.309887573242188,10.597563042185682,17.91984593551516,15.885321516881499
10,Random Forest,4500,8.077752352396647,10.30419967814649,16.185043485141072,14.651751155945577
